,$,def,ident,(,),{,},int,float,string,",",;,break,[,int_constant,],#ERROR!,call,print,read,return,if,else,for,new,<,>,#ERROR!,!=,#ERROR!,-,*,/,%,float_constant,string_constant,null
ALLOCEXPRESSION,,,,,,,,,,,,,,,,,,,,,,,,,ALLOCEXPRESSION ::= new ALLOCEXPRESSION',,,,,,,,,,,,
ALLOCEXPRESSION',,,,,,,,ALLOCEXPRESSION' ::= int ALLOCEXPRESSION'',ALLOCEXPRESSION' ::= float ALLOCEXPRESSION'',ALLOCEXPRESSION' ::= string ALLOCEXPRESSION'',,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLOCEXPRESSION'',,,,,,,,,,,,,,ALLOCEXPRESSION'' ::= [ NUMEXPRESSION ] ALLOCEXPRESSION''',,,,,,,,,,,,,,,,,,,,,,,
ALLOCEXPRESSION''',,,,,ALLOCEXPRESSION''' ::= ε,,,,,,,ALLOCEXPRESSION''' ::= ε,,ALLOCEXPRESSION''' ::= ALLOCEXPRESSION'',,,,,,,,,,,,,,,,,,,,,,,
EXPRESSION,,,EXPRESSION ::= NUMEXPRESSION EXPRESSION',EXPRESSION ::= NUMEXPRESSION EXPRESSION',,,,,,,,,,,EXPRESSION ::= NUMEXPRESSION EXPRESSION',,,,,,,,,,,,,,,EXPRESSION ::= NUMEXPRESSION EXPRESSION',EXPRESSION ::= NUMEXPRESSION EXPRESSION',,,,EXPRESSION ::= NUMEXPRESSION EXPRESSION',EXPRESSION ::= NUMEXPRESSION EXPRESSION',EXPRESSION ::= NUMEXPRESSION EXPRESSION'
EXPRESSION',,,,,EXPRESSION' ::= ε,,,,,,,EXPRESSION' ::= ε,,,,,,,,,,,,,,EXPRESSION' ::= < EXPRESSION'',EXPRESSION' ::= > EXPRESSION'',EXPRESSION' ::= == NUMEXPRESSION,EXPRESSION' ::= != NUMEXPRESSION,,,,,,,,
EXPRESSION'',,,EXPRESSION'' ::= NUMEXPRESSION,EXPRESSION'' ::= NUMEXPRESSION,,,,,,,,,,,EXPRESSION'' ::= NUMEXPRESSION,,EXPRESSION'' ::= = NUMEXPRESSION,,,,,,,,,,,,,EXPRESSION'' ::= NUMEXPRESSION,EXPRESSION'' ::= NUMEXPRESSION,,,,EXPRESSION'' ::= NUMEXPRESSION,EXPRESSION'' ::= NUMEXPRESSION,EXPRESSION'' ::= NUMEXPRESSION
NUMEXPRESSION,,,NUMEXPRESSION ::= TERM NUMEXPRESSION',NUMEXPRESSION ::= TERM NUMEXPRESSION',,,,,,,,,,,NUMEXPRESSION ::= TERM NUMEXPRESSION',,,,,,,,,,,,,,,NUMEXPRESSION ::= TERM NUMEXPRESSION',NUMEXPRESSION ::= TERM NUMEXPRESSION',,,,NUMEXPRESSION ::= TERM NUMEXPRESSION',NUMEXPRESSION ::= TERM NUMEXPRESSION',NUMEXPRESSION ::= TERM NUMEXPRESSION'
NUMEXPRESSION',,,,,NUMEXPRESSION' ::= ε,,,,,,,NUMEXPRESSION' ::= ε,,,,NUMEXPRESSION' ::= ε,,,,,,,,,,NUMEXPRESSION' ::= ε,NUMEXPRESSION' ::= ε,NUMEXPRESSION' ::= ε,NUMEXPRESSION' ::= ε,NUMEXPRESSION' ::= + NUMEXPRESSION,NUMEXPRESSION' ::= - NUMEXPRESSION,,,,,,
TERM,,,TERM ::= UNARYEXPR TERM',TERM ::= UNARYEXPR TERM',,,,,,,,,,,TERM ::= UNARYEXPR TERM',,,,,,,,,,,,,,,TERM ::= UNARYEXPR TERM',TERM ::= UNARYEXPR TERM',,,,TERM ::= UNARYEXPR TERM',TERM ::= UNARYEXPR TERM',TERM ::= UNARYEXPR TERM'
TERM',,,,,TERM' ::= ε,,,,,,,TERM' ::= ε,,,,TERM' ::= ε,,,,,,,,,,TERM' ::= ε,TERM' ::= ε,TERM' ::= ε,TERM' ::= ε,TERM' ::= ε,TERM' ::= ε,TERM' ::= * TERM,TERM' ::= / TERM,TERM' ::= % TERM,,,
UNARYEXPR,,,UNARYEXPR ::= FACTOR,UNARYEXPR ::= FACTOR,,,,,,,,,,,UNARYEXPR ::= FACTOR,,,,,,,,,,,,,,,UNARYEXPR ::= + FACTOR,UNARYEXPR ::= - FACTOR,,,,UNARYEXPR ::= FACTOR,UNARYEXPR ::= FACTOR,UNARYEXPR ::= FACTOR
FACTOR,,,FACTOR ::= LVALUE,FACTOR ::= ( NUMEXPRESSION ),,,,,,,,,,,FACTOR ::= int_constant,,,,,,,,,,,,,,,,,,,,FACTOR ::= float_constant,FACTOR ::= string_constant,FACTOR ::= null
LVALUE,,,LVALUE ::= ident LVALUE',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE',,,,,LVALUE' ::= ε,,,,,,,LVALUE' ::= ε,,LVALUE' ::= [ NUMEXPRESSION ] LVALUE',,LVALUE' ::= ε,LVALUE' ::= ε,,,,,,,,,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,LVALUE' ::= ε,,,
